-170.7674444,14.31733333,K246AX-FM  97.1 MHz.,"WESTERN DISTRICT,  AS"
-170.7630556,14.3225,WVUV-FM  103.1 MHz,"FAGAITUA,  AS"
-170.7630556,14.3225,KNWJ-FM  104.7 MHz,"LEONE,  AS"
-170.7630556,14.3225,K229BG-FM  93.7 MHz.,"PAVAIAI,  AS"
-170.745,14.34944444,KULA-LP-FM  95.1 MHz,"ILI'ILI,  AS"
-170.6886111,14.26,K256BH-FM  99.1 MHz.,"CENTRAL DISTRICT,  AS"
-170.6861111,14.27,KKHJ-FM  93.1 MHz.,"PAGO PAGO,  AS"
-170.6861111,14.27,K281AY-FM  104.1 MHz,"PAGO PAGO,  AS"
-170.6622222,14.29472222,KSBS-FM  92.1 MHz.,"PAGO PAGO,  AS"
-170.5638889,14.25805556,K273BK-FM  102.5 MHz,"EASTERN DISTRICT,  AS"
-170.2791667,57.12055556,KUHB-FM  91.9 MHz.,"ST. PAUL,  AK"
-166.7916667,68.345,K268AA-FM  101.5 MHz,"POINT HOPE,  AK"
-166.5425,53.87555556,K202DB-FM  88.3 MHz.,"UNALASKA,  AK"
-166.54,53.87638889,KUCB-FM  89.7 MHz.,"UNALASKA,  AK"
-166.54,53.87638889,K216BG-FM  91.1 MHz.,"UNALASKA,  AK"
-166.1133333,61.52666667,K232DS-FM  94.3 MHz.,"HOOPER BAY,  AK"
-165.5888889,61.52944444,KCUK-FM  88.1 MHz.,"CHEVAK,  AK"
-165.4102778,64.5025,KICY-FM  100.3 MHz,"NOME,  AK"
-165.4013889,64.50277778,K217CK-FM  91.3 MHz.,"NOME,  AK"
-165.3988889,64.49888889,KNOM-FM  96.1 MHz.,"NOME,  AK"
-163.17825,62.05183333,K241BE-FM  96.1 MHz.,"SAINT MARYS,  AK"
-163.0133333,69.73,K201AV-FM  88.1 MHz.,"POINT LAY,  AK"
-162.5961111,66.89611111,KINU-FM  89.9 MHz.,"KOTZEBUE,  AK"
-162.5711111,66.90305556,KHZK-FM  103.9 MHz,"KOTZEBUE,  AK"
-162.3252778,55.06138889,K201DA-FM  88.1 MHz.,"KING COVE,  AK"
-162.0380556,63.47805556,DKAMP-LP-FM  92.9 MHz.,"ST. MICHAEL,  AK"
-161.8977778,59.75277778,K232DW-FM  94.3 MHz.,"QUINHAGAK,  AK"
-161.7872222,60.80555556,KYKD-FM  100.1 MHz,"BETHEL,  AK"
-161.7727778,60.7925,KYUK-FM  90.3 MHz.,"BETHEL,  AK"
-161.4323889,60.90988889,KHKY-FM  92.7 MHz.,"AKIACHAK,  AK"
-160.5002778,55.33722222,K232DT-FM  94.3 MHz.,"SAND POINT,  AK"
-160.0630556,62.90638889,K232DX-FM  94.3 MHz.,"GRAYLING,  AK"
-159.6697222,21.96416667,KFMN1-FM  96.9 MHz,"WAIMEA,  HI"
-159.5494444,61.56916667,K220EA-FM  91.9 MHz.,"ANIAK,  AK"
-159.5280556,21.91138889,K300AT-FM  107.9 MHz,"KALAHEO,  HI"
-159.4991667,22.22527778,K233AK-FM  94.5 MHz.,"HANALEI,  HI"
-159.4991667,22.22527778,K280EZ-FM  103.9 MHz,"PRINCEVILLE,  HI"
-159.4986111,21.97805556,KAQA-FM  91.9 MHz.,"KILAUEA,  HI"
-159.485,22.22888889,KITH1-FM  98.9 MHz,"PRINCEVILLE,  HI"
-159.485,22.22888889,KTOH1-FM  99.9 MHz,"PRINCEVILLE,  HI"
-159.4813889,22.21722222,KKCR-FM  90.9 MHz.,"HANALEI,  HI"
-159.4452778,21.93611111,KTOH-FM  99.9 MHz.,"KALAHEO,  HI"
-159.4452778,21.93611111,KITH-FM  98.9 MHz.,"KAPAA,  HI"
-159.4452778,21.93638889,KSHK-FM  103.3 MHz,"KEKAHA,  HI"
-159.4452778,21.93638889,KSRF-FM  95.9 MHz.,"POIPU,  HI"
-159.4263889,21.99833333,KHJC-FM  88.9 MHz.,"LIHUE,  HI"
-159.4263889,21.99833333,K208FK-FM  89.5 MHz.,"LIHUE,  HI"
-159.4263889,21.99833333,KFMN-FM  96.9 MHz.,"LIHUE,  HI"
-159.41,21.99472222,KJMQ-FM  98.1 MHz.,"LIHUE,  HI"
-159.4066667,22.22194444,KAQA1-FM  91.9 MHz,"KILAUEA,  HI"
-159.4066667,21.9925,KQNG-FM  93.5 MHz.,"LIHUE,  HI"
-159.3575,21.99722222,KCSK-LP-FM  102.3 MHz.,"HANAMAULU,  HI"
-159.3358333,22.18583333,K224CQ-FM  92.7 MHz.,"ANAHOLA,  HI"
-159.1319444,55.92083333,K232DJ-FM  94.3 MHz.,"PERRYVILLE,  AK"
-159.055,58.98083333,K275AW-FM  102.9 MHz,"MANOKOTAK,  AK"
-158.7266667,64.32777778,KALG-FM  98.1 MHz.,"KALTAG,  AK"
-158.5219444,59.04194444,KRUP-FM  99.1 MHz.,"DILLINGHAM,  AK"
-158.4630556,59.04361111,KDLG-FM  89.9 MHz.,"DILLINGHAM,  AK"
-158.4519444,59.04527778,DK285EV-FM  104.9 MHz.,"DILLINGHAM,  AK"
-158.4147222,56.30166667,KMXT-FM  100.1 MHz,"CHIGNIK,  AK"
-158.4072222,56.29722222,K220CL-FM  91.9 MHz.,"CHIGNIK,  AK"
-158.1483333,21.51361111,K203EL-FM  88.5 MHz.,"HALEIWA,  HI"
-158.1483333,21.51361111,KHPR1-FM  88.1 MHz,"MAKAHA,  HI"
-158.1483333,21.51361111,KIPO1-FM  89.3 MHz,"MAKAHA,  HI"
-158.1466667,21.51222222,K217AA-FM  91.3 MHz.,"WAIALUA,  HI"
-158.1002778,21.3975,KKOL-FM  107.9 MHz,"AIEA,  HI"
-158.1002778,21.3975,KHUI-FM  99.5 MHz.,"HONOLULU,  HI"
-158.1002778,21.3975,KCCN-FM  100.3 MHz,"HONOLULU,  HI"
-158.1002778,21.3975,KINE-FM  105.1 MHz,"HONOLULU,  HI"
-158.1002778,21.3975,KPOI-FM  105.9 MHz,"HONOLULU,  HI"
-158.1002778,21.3975,KUCD-FM  101.9 MHz,"PEARL CITY,  HI"
-158.1002778,21.3975,KHAI-FM  103.5 MHz,"WAHIAWA,  HI"
-158.0994444,21.39583333,KQMQ-FM  93.1 MHz.,"HONOLULU,  HI"
-158.0994444,21.39583333,KAIM-FM  95.5 MHz.,"HONOLULU,  HI"
-158.0994444,21.39583333,K246AY-FM  97.1 MHz.,"HONOLULU,  HI"
-158.0994444,21.39583333,K256AS-FM  99.1 MHz.,"HONOLULU,  HI"
-158.0994444,21.39583333,K288FB-FM  105.5 MHz,"HONOLULU,  HI"
-158.0994444,21.39583333,K214CY-FM  90.7 MHz.,"MAILI,  HI"
-158.0994444,21.39583333,KORL-FM  101.1 MHz,"WAIANAE,  HI"
-158.0994444,21.39694444,KSSK-FM  92.3 MHz.,"WAIPAHU,  HI"
-158.0994444,21.39694444,KDDB-FM  102.7 MHz,"WAIPAHU,  HI"
-158.0975,21.31277778,KNAN-FM  106.7 MHz,"NANAKULI,  HI"
-158.0075,21.40777778,K280FC-FM  103.9 MHz,"WAIPAHU,  HI"
-157.9125,21.34972222,K284AL-FM  104.7 MHz,"HALEIWA,  HI"
-157.9125,21.34972222,K268BE-FM  101.5 MHz,"HONOLULU,  HI"
